,data,index,column,old,new
0,data,122,play_type,Kickoff Return (Offense),Kickoff
1,data,1140,play_type,Kickoff Return (Offense),Kickoff
2,data,1140,play_text,"Clayton Hatfield kickoff for 65 yds , Jaylon Jones return for 16 yds to the TEXASTECH 16 TEXAS TECH Penalty, Personal Foul (15 Yards) to the Miss 31","Hatfield, Clayt kickoff 65 yards to the OM0, Jaylon Jones return 16 yards to the OM16 (Leggett, Thomas), PENALTY TTU personal foul (Addison, Quincy) 15 yards to the OM31, 1st and 10, OM ball on OM31."
3,data,8348,play_type,Kickoff Return (Offense),Kickoff
4,data,8813,play_type,Kickoff Return (Offense),Kickoff
5,data,8826,play_type,Kickoff Return (Offense),Kickoff
6,data,8859,play_type,Kickoff Return (Offense),Kickoff
7,data,8866,play_type,Kickoff Return (Offense),Kickoff
8,data,8898,play_type,Kickoff Return (Offense),Kickoff
9,data,8910,play_type,Kickoff Return (Offense),Kickoff
10,data,8912,play_type,Kickoff Return (Offense),Kickoff
11,data,8919,play_type,Kickoff Return (Offense),Kickoff
12,data,8925,play_type,Kickoff Return (Offense),Kickoff
13,data,8941,play_type,Kickoff Return (Offense),Kickoff
14,data,8971,play_type,Kickoff Return (Offense),Kickoff
15,data,9011,play_text,"Cooper Rothe kickoff for 61 yds , Royce Caldwell return for 1 yd to the NMxSt 36 NEW MEXICO ST Penalty, Offensive Holding (2 Yards) to the NMxSt 3","ROTHE, Cooper kickoff 61 yards to the NMSU4, Caldwell, Royce return 1 yards to the NMSU5 (BLANKENBAKER,K.), PENALTY NMSU holding (Reese, Jassavia) 2 yards to the NMSU3, 1st and 10, NMSU ball on NMSU3."
16,data,9011,play_type,Kickoff Return (Offense),Kickoff
17,data,9015,play_type,Kickoff Return (Offense),Kickoff
18,data,14495,play_type,Kickoff Return (Offense),Kickoff
19,data,14523,play_type,Kickoff Return (Offense),Kickoff
20,data,14572,play_type,Kickoff Return (Offense),Kickoff
21,data,14572,play_text,"Michael Boyle kickoff for 50 yds , Preston Williams return for 21 yds to the COLOST 44 HAWAII Penalty, Defensive offside (-5 Yards) to the ColSt 41","BOYLE, Michael kickoff 50 yards to the CSU15, WILLIAMS, P. return 21 yards to the CSU36 (DALE, Elijah), PENALTY UH offside (MATAAFA, Mason) 5 yards to the CSU41, 1st and 10, CSU ball on CSU41."
