,id,week,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text,home_team,away_team,neutral_site,conference_game,home_score,away_score
502,401012248,1,Washington,Pac-12,Auburn,SEC,13,15,40101224816,3,5,15,3,3,3,-17,Fumble Recovery (Opponent),"Jake Browning run for a loss of 17 yards to the Aub 20 Jake Browning fumbled, recovered by Aub Darrell Williams",Auburn,Washington,True,False,15,13
662,401012249,1,Florida,SEC,Charleston Southern,,38,0,40101224917,3,12,49,86,1,10,-16,Fumble Recovery (Own),"TEAM run for a loss of 16 yards to the ChaSo 30 TEAM fumbled, recovered by Fla Kyle Trask",Florida,Charleston Southern,False,False,38,0
1224,401012253,1,Texas Tech,Big 12,Ole Miss,SEC,27,44,40101225325,4,10,32,99,1,1,-16,Penalty,"TEXAS TECH Penalty, Unsportsmanlike Conduct (-16 Yards) to the Miss 17",Texas Tech,Ole Miss,True,False,27,44
3522,401012681,1,Bowling Green,Mid-American,Oregon,Pac-12,10,30,40101268112,2,5,42,81,4,2,-19,Safety,TEAM run for a loss of 19 yards for a SAFETY,Oregon,Bowling Green,False,False,30,10
3868,401012683,1,Washington State,Pac-12,Wyoming,Mountain West,10,2,4010126835,1,1,35,72,4,6,-28,Safety,TEAM run for a loss of 28 yards for a SAFETY,Wyoming,Washington State,False,False,2,10
4224,401012684,1,North Carolina,ACC,California,Pac-12,17,24,40101268430,4,1,13,53,1,10,-17,Penalty,"Jones, F kickoff 0 yards to the NC47, on-side kick, recovered by NC Ratliff, A on NC47, PENALTY NC illegal block 17 yards to the NC30, NO PLAY.",California,North Carolina,False,False,24,17
9714,401014972,1,Prairie View,,Rice,Conference USA,28,28,40101497222,4,10,15,69,4,4,-31,Safety,TEAM run for a loss of 31 yards for a SAFETY,Rice,Prairie View,False,False,28,28
10260,401014975,1,Miami (OH),Mid-American,Marshall,Conference USA,21,28,40101497521,4,7,39,31,3,5,-16,Penalty,"RAGLAND, Gus pass complete to GARDNER, James for 20 yards to the MARSHALL49 (MERRELL, Kereon), PENALTY MIAMI pass interference (GARDNER, James) 16 yards to the MIAMI15, NO PLAY.",Miami (OH),Marshall,False,False,21,28
10826,401014978,1,Southern Mississippi,Conference USA,Jackson State,,48,7,40101497827,4,10,9,75,3,6,-100,Pass Interception Return,Marcelo Rodriguez pass intercepted Tyler Rogers return for a loss of 100 yards to the JckSt 0,Southern Mississippi,Jackson State,False,False,48,7
12332,401020671,1,Ball State,Mid-American,Central Connecticut,,14,0,4010206718,2,11,28,77,2,10,-19,Pass Reception,"Riley Neal pass complete to Corey Lacanaria for a loss of 4 yards to the CConn 27 BALL ST Penalty, personal foul (-15 Yards) to the CConn 42",Ball State,Central Connecticut,False,False,14,0
