,data,index,column,old,new
0,data,3869,down,1,0
1,data,3869,distance,80,0
2,data,5352,down,1,0
3,data,5352,distance,65,0
4,data,8083,down,1,0
5,data,8083,distance,65,0
6,data,9843,down,1,0
7,data,9843,distance,65,0
8,data,12094,down,1,0
9,data,12094,distance,80,0
10,data,14241,down,1,0
11,data,14241,distance,65,0
12,data,15492,down,1,0
13,data,15492,distance,80,0
14,data,15693,down,1,0
15,data,15693,distance,65,0
16,data,25234,down,1,0
17,data,25234,distance,65,0
18,data,33983,down,1,0
19,data,33983,distance,65,0
20,data,37887,down,1,0
21,data,37887,distance,65,0
22,data,49565,down,1,0
23,data,49565,distance,65,0
24,data,61926,down,1,0
25,data,61926,distance,65,0
26,data,65176,down,1,0
27,data,65176,distance,65,0
28,data,65176,play_text,"ARIZONA Penalty, false start (5 Yards) to the Cal 40","ARIZONA Penalty, offsides (5 Yards) to the Cal 40"
29,data,68889,down,1,0
30,data,68889,distance,70,0
31,data,69377,down,1,0
32,data,69377,distance,65,0
33,data,82838,down,1,0
34,data,82838,distance,65,0
35,data,82839,down,1,0
36,data,82839,distance,80,0
37,data,83076,down,1,0
38,data,83076,distance,65,0
39,data,87474,down,1,0
40,data,87474,distance,65,0
41,data,90790,down,1,0
42,data,90790,distance,65,0
43,data,92024,down,1,0
44,data,92024,distance,65,0
45,data,93211,down,1,0
46,data,93211,distance,65,0
47,data,101605,down,1,0
48,data,101605,distance,65,0
49,data,102701,down,1,0
50,data,102701,distance,65,0
51,data,110146,down,1,0
52,data,110146,distance,65,0
53,data,110987,down,1,0
54,data,110987,distance,65,0
55,data,121463,down,1,0
56,data,121463,distance,65,0
57,data,129902,down,1,0
58,data,129902,distance,65,0
59,data,132878,distance,42,0
60,data,134950,down,1,0
61,data,134950,distance,65,0
