,id,week,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text,home_team,away_team,neutral_site,conference_game,home_score,away_score
939,401012251,1,Kentucky,SEC,Central Michigan,Mid-American,7,16,40101225111,2,5,33,26,1,10,20,Fumble Recovery Touchdown (Opponent),"Terry Wilson pass complete to Lynn Bowden Jr. for loss of 4 yards to the UK22, fumble forced by BRISSON-FAST, N, fumble by Lynn Bowden Jr. recovered by CMU REED, Devonni at UK20, REED, Devonni for 20 yards to the UK0, for a TD  clock 05:33 (Michael Armstrong KICK)",Kentucky,Central Michigan,FALSE,FALSE,7,16
4573,401012820,1,Texas State,Sun Belt,Rutgers,Big Ten,7,35,40101282023,4,9,17,93,1,6,0,Fumble Recovery Touchdown (Opponent),"TEAM run for a loss of 7 yards TEAM fumbled, recovered by Rutgr Olakunle Fatukasi for a TD (Justin Davidovicz KICK)",Rutgers,Texas State,FALSE,FALSE,35,7
6076,401013057,1,South Dakota,,Kansas State,Big 12,24,19,40101305727,4,12,12,53,4,4,85,Punt Return Touchdown,"Brady Schutt punt for 38 yds , Isaiah Zuber returns for 85 yds for a TD (Blake Lynch KICK)",Kansas State,South Dakota,FALSE,FALSE,19,24
6148,401013065,1,Florida Atlantic,Conference USA,Oklahoma,Big 12,0,14,4010130653,1,6,34,72,4,7,0,Blocked Punt Touchdown,Sebastian Riella punt blocked by Lee Morris blocked by Lee Morris  Curtis Bolton return for no gain for a TD (Austin Seibert KICK),Oklahoma,Florida Atlantic,FALSE,FALSE,14,0
6415,401013072,1,Southern,,TCU,Big 12,7,55,40101307218,3,7,31,69,4,4,73,Punt Return Touchdown,"Cesar Barajas punt for 42 yds , Derius Davis returns for 73 yds for a TD (Jonathan Song KICK)",TCU,Southern,FALSE,FALSE,55,7
7355,401013092,1,Albany,,Pittsburgh,ACC,0,7,4010130921,1,14,48,65,1,10,91,Kickoff Return Touchdown,"Ethan Stark kickoff for 56 yds , Maurice Ffrench return for 91 yds for a TD (Alex Kessman KICK)",Pittsburgh,Albany,FALSE,FALSE,7,0
8119,401013328,1,New Mexico State,,Minnesota,Big Ten,10,28,40101332815,2,2,45,75,4,10,76,Punt Return Touchdown,"Payton Theisler punt for 51 yds , Antoine Winfield Jr. returns for 76 yds for a TD (Emmit Carpenter KICK)",Minnesota,New Mexico State,FALSE,FALSE,28,10
10469,401014976,1,SMU,American Athletic,North Texas,Conference USA,15,46,40101497623,4,1,28,65,1,0,96,Kickoff Return Touchdown,"Kevin Robledo kickoff for 61 yds , DeAndre Torrey return for 96 yds for a TD (Cole Hedlund KICK)",North Texas,SMU,FALSE,FALSE,46,15
10733,401014978,1,Jackson State,,Southern Mississippi,Conference USA,0,24,4010149788,2,7,4,60,4,9,81,Punt Return Touchdown,"Christian Jacquemin punt for 41 yds , Quez Watkins returns for 81 yds for a TD (Parker Shaunfield KICK)",Southern Mississippi,Jackson State,FALSE,FALSE,24,0
11635,401019473,1,Villanova,,Temple,American Athletic,13,10,4010194735,2,7,47,15,4,14,74,Blocked Field Goal Touchdown,Drew Kresge 31 yd FG BLOCKED blocked by Quincy Roche  Kimere Brown return for 74 yds for a TD (Aaron Boumerhi KICK),Temple,Villanova,FALSE,FALSE,10,13
