,data,index,column,old,new
0,data,32,distance,0,9
1,data,51,distance,0,1
2,data,119,distance,0,12
3,data,251,distance,0,1
4,data,302,distance,0,2
5,data,329,distance,0,5
6,data,766,distance,0,8
7,data,1125,distance,0,12
8,data,1189,distance,0,9
9,data,1238,distance,0,6
10,data,1284,distance,0,9
11,data,1310,distance,0,19
12,data,1402,distance,0,6
13,data,1439,distance,0,5
14,data,1503,distance,0,1
15,data,1521,distance,0,1
16,data,1545,distance,0,5
17,data,2015,distance,0,7
18,data,2035,distance,0,2
19,data,2048,distance,0,1
20,data,2072,distance,0,8
21,data,2093,distance,0,4
22,data,2551,distance,0,1
23,data,2615,distance,0,7
24,data,2640,distance,0,2
25,data,2670,distance,0,1
26,data,3077,distance,0,1
27,data,3108,distance,0,1
28,data,3117,distance,0,1
29,data,3236,distance,0,1
30,data,3507,distance,0,2
31,data,3528,distance,0,5
32,data,3544,distance,0,9
33,data,3648,distance,0,2
34,data,3678,distance,0,6
35,data,3715,distance,0,3
36,data,3740,distance,0,7
37,data,5044,distance,0,5
38,data,5110,distance,0,2
39,data,5146,distance,0,2
40,data,5417,distance,0,10
41,data,5438,distance,0,4
42,data,5526,distance,0,3
43,data,5600,distance,0,3
44,data,5615,distance,0,17
45,data,5650,distance,0,3
46,data,5663,distance,0,7
47,data,5700,distance,0,7
48,data,5752,distance,0,2
49,data,5886,distance,0,15
50,data,5915,distance,0,4
51,data,6922,distance,0,1
52,data,6963,distance,0,3
53,data,6971,distance,0,7
54,data,7208,distance,0,5
55,data,7221,distance,0,7
56,data,7330,distance,0,3
57,data,7343,distance,0,6
58,data,7733,distance,0,1
59,data,7746,distance,0,3
60,data,7787,distance,0,3
61,data,7816,distance,0,3
62,data,7928,distance,0,5
63,data,8534,distance,0,3
64,data,8565,distance,0,17
65,data,8572,distance,0,2
66,data,8588,distance,0,1
67,data,8631,distance,0,4
68,data,8729,distance,0,2
69,data,8740,distance,0,8
70,data,8841,distance,0,1
71,data,8896,distance,0,3
72,data,8897,distance,0,2
73,data,8906,distance,0,6
74,data,8908,distance,0,5
75,data,8909,distance,0,5
76,data,8955,distance,0,10
77,data,8956,distance,0,8
78,data,8957,distance,0,8
79,data,8959,distance,0,2
80,data,8960,distance,0,2
81,data,9024,distance,0,5
82,data,9025,distance,0,5
83,data,9026,distance,0,20
84,data,9027,distance,0,31
85,data,9029,distance,0,19
86,data,9030,distance,0,19
87,data,9368,distance,0,3
88,data,9388,distance,0,3
89,data,9402,distance,0,5
90,data,9412,distance,0,3
91,data,9454,distance,0,6
92,data,9585,distance,0,10
93,data,9594,distance,0,15
94,data,9643,distance,0,2
95,data,11035,distance,0,1
96,data,11119,distance,0,6
97,data,11161,distance,0,8
98,data,11496,distance,0,2
99,data,11550,distance,0,1
100,data,11827,distance,0,5
101,data,11884,distance,0,4
102,data,11932,distance,0,7
103,data,11947,distance,0,1
104,data,11974,distance,0,3
105,data,11998,distance,0,4
106,data,12012,distance,0,1
107,data,12019,distance,0,7
108,data,12063,distance,0,9
109,data,12077,distance,0,2
110,data,14108,distance,0,2
111,data,14120,distance,0,9
112,data,14145,distance,0,5
113,data,14163,distance,0,3
114,data,14240,distance,0,11
115,data,14356,distance,0,7
116,data,14368,distance,0,3
117,data,14423,distance,0,1
118,data,14490,distance,0,10
119,data,14491,distance,0,8
120,data,14492,distance,0,8
121,data,14494,distance,0,4
122,data,14509,distance,0,10
123,data,14510,distance,0,10
124,data,14517,distance,0,10
125,data,14518,distance,0,6
126,data,14519,distance,0,1
127,data,14522,distance,0,3
128,data,14617,distance,0,6
129,data,14618,distance,0,7
130,data,14656,distance,0,10
131,data,14657,distance,0,7
132,data,14658,distance,0,7
133,data,14659,distance,0,12
134,data,14660,distance,0,12
135,data,14671,distance,0,9
136,data,14672,distance,0,3
137,data,14704,distance,0,5
138,data,14715,distance,0,5
139,data,14737,distance,0,1
140,data,14752,distance,0,1
141,data,14786,distance,0,9
142,data,15231,distance,0,1
143,data,15651,distance,0,5
144,data,15670,distance,0,2
145,data,15692,distance,0,7
146,data,15712,distance,0,6
147,data,15790,distance,0,5
148,data,15804,distance,0,5
149,data,16991,distance,0,13
150,data,17440,distance,0,5
151,data,17739,distance,0,1
152,data,18029,distance,0,1
153,data,18184,distance,0,1
154,data,18202,distance,0,2
155,data,18229,distance,0,4
156,data,18378,distance,0,6
157,data,18426,distance,0,10
158,data,19915,distance,0,2
159,data,19950,distance,0,1
160,data,21900,distance,0,2
161,data,21936,distance,0,8
162,data,22074,distance,0,5
163,data,25270,distance,0,1
164,data,25282,distance,0,4
165,data,25331,distance,0,14
166,data,25774,distance,0,4
167,data,25887,distance,0,2
168,data,27416,distance,0,1
169,data,27428,distance,0,5
170,data,28357,distance,0,4
171,data,28378,distance,0,5
172,data,28403,distance,0,7
173,data,29651,distance,0,5
174,data,29690,distance,0,8
175,data,30015,distance,0,1
176,data,30080,distance,0,7
177,data,30095,distance,0,7
178,data,30117,distance,0,4
179,data,30137,distance,0,8
180,data,30375,distance,0,5
181,data,30737,distance,0,10
182,data,30779,distance,0,4
183,data,30813,distance,0,2
184,data,32762,distance,0,1
185,data,32820,distance,0,6
186,data,35187,distance,0,4
187,data,35231,distance,0,5
188,data,35251,distance,0,7
