offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Alabama,SEC,Mississippi State,SEC,401012331,4010123311,true,1,27,15,1,100,10,40,4,20,9,73,TD
Mississippi State,SEC,Alabama,SEC,401012331,4010123312,false,1,75,10,1,68,8,42,1,58,3,7,PUNT
Alabama,SEC,Mississippi State,SEC,401012331,4010123313,true,1,17,8,1,100,2,48,5,54,13,83,TD
Mississippi State,SEC,Alabama,SEC,401012331,4010123314,false,1,75,2,1,69,,29,2,19,3,6,PUNT
Alabama,SEC,Mississippi State,SEC,401012331,4010123315,false,1,26,,2,62,11,57,3,32,9,36,PUNT
Mississippi State,SEC,Alabama,SEC,401012331,4010123316,false,2,99,11,2,85,9,17,2,40,5,14,PUNT
Alabama,SEC,Mississippi State,SEC,401012331,4010123317,false,2,38,9,2,74,7,35,1,42,4,33,FUMBLE
Mississippi State,SEC,Alabama,SEC,401012331,4010123318,false,2,70,7,2,83,5,54,1,41,3,-13,PUNT
Alabama,SEC,Mississippi State,SEC,401012331,4010123319,false,2,42,5,2,31,4,29,1,25,3,-11,FUMBLE
Arkansas,SEC,LSU,SEC,401012332,4010123321,false,1,25,15,1,15,12,31,2,29,3,-10,PUNT
LSU,SEC,Arkansas,SEC,401012332,4010123322,false,1,53,12,1,40,10,46,1,45,4,13,PUNT
Arkansas,SEC,LSU,SEC,401012332,4010123323,false,1,9,10,1,16,7,39,3,7,5,7,PUNT
LSU,SEC,Arkansas,SEC,401012332,4010123324,true,1,40,7,1,0,7,30,,9,1,40,TD
Arkansas,SEC,LSU,SEC,401012332,4010123325,false,1,25,7,1,27,6,24,1,6,3,2,FUMBLE
LSU,SEC,Arkansas,SEC,401012332,4010123326,false,1,78,6,1,74,5,33,,51,3,4,PUNT
Arkansas,SEC,LSU,SEC,401012332,4010123327,false,1,32,5,1,40,3,53,1,40,3,8,PUNT
LSU,SEC,Arkansas,SEC,401012332,4010123328,false,1,81,3,2,78,14,47,4,6,6,3,PUNT
Arkansas,SEC,LSU,SEC,401012332,4010123329,false,2,36,14,2,34,12,48,1,59,3,-2,PUNT
South Carolina,SEC,Florida,SEC,401012333,4010123331,true,1,83,15,1,0,9,17,5,43,13,83,TD
Florida,SEC,South Carolina,SEC,401012333,4010123332,false,1,25,9,1,29,6,32,2,45,6,4,PUNT
South Carolina,SEC,Florida,SEC,401012333,4010123333,true,1,84,6,1,0,4,51,1,41,6,84,TD
Florida,SEC,South Carolina,SEC,401012333,4010123334,true,1,25,4,2,100,13,46,6,5,13,75,TD
South Carolina,SEC,Florida,SEC,401012333,4010123335,false,2,80,13,2,72,12,10,1,36,3,8,PUNT
Florida,SEC,South Carolina,SEC,401012333,4010123336,true,2,31,12,2,100,8,58,3,12,8,69,TD
South Carolina,SEC,Florida,SEC,401012333,4010123337,true,2,71,8,2,0,4,21,4,37,12,71,TD
Florida,SEC,South Carolina,SEC,401012333,4010123338,false,2,25,4,2,62,,52,3,29,8,37,PUNT
South Carolina,SEC,Florida,SEC,401012333,4010123339,false,2,80,,2,70,,,,52,5,10,END OF HALF
Auburn,SEC,Georgia,SEC,401012334,4010123341,false,1,75,15,1,50,12,10,2,50,5,25,PUNT
Georgia,SEC,Auburn,SEC,401012334,4010123342,true,1,12,12,1,92,7,1,5,9,10,80,FG
Auburn,SEC,Georgia,SEC,401012334,4010123343,true,1,75,7,1,0,4,28,2,33,8,75,TD
Georgia,SEC,Auburn,SEC,401012334,4010123344,true,1,25,4,2,98,11,13,8,15,15,73,FG
Auburn,SEC,Georgia,SEC,401012334,4010123345,true,2,75,11,2,9,7,46,3,27,11,66,FG
Georgia,SEC,Auburn,SEC,401012334,4010123346,true,2,41,7,2,100,2,47,4,59,8,59,TD
Auburn,SEC,Georgia,SEC,401012334,4010123347,false,2,83,2,2,75,2,,,47,3,8,PUNT
Georgia,SEC,Auburn,SEC,401012334,4010123348,true,2,31,2,2,100,,21,1,39,5,69,TD
Auburn,SEC,Georgia,SEC,401012334,4010123349,false,2,75,,2,70,,,,21,1,5,END OF HALF
Vanderbilt,SEC,Missouri,SEC,401012335,4010123351,true,1,75,15,1,0,13,,2,,4,75,TD
Missouri,SEC,Vanderbilt,SEC,401012335,4010123352,true,1,25,13,1,100,9,53,3,7,8,75,TD
Vanderbilt,SEC,Missouri,SEC,401012335,4010123353,true,1,75,9,1,0,5,59,3,54,7,75,TD
Missouri,SEC,Vanderbilt,SEC,401012335,4010123354,false,1,35,5,1,47,4,40,1,19,5,12,INT
Vanderbilt,SEC,Missouri,SEC,401012335,4010123355,false,1,30,4,1,23,2,51,1,49,4,7,MISSED FG
Missouri,SEC,Vanderbilt,SEC,401012335,4010123356,false,1,23,2,1,26,1,46,1,5,3,3,PUNT
Vanderbilt,SEC,Missouri,SEC,401012335,4010123357,false,1,73,1,1,64,,6,1,40,3,9,PUNT
Missouri,SEC,Vanderbilt,SEC,401012335,4010123358,false,1,17,,1,26,,,,6,3,9,PUNT
Vanderbilt,SEC,Missouri,SEC,401012335,4010123359,false,2,71,13,2,74,,,13,45,3,-3,PUNT
Kentucky,SEC,Tennessee,SEC,401012336,4010123361,false,1,76,15,1,56,12,6,2,54,5,20,PUNT
Tennessee,SEC,Kentucky,SEC,401012336,4010123362,false,1,12,12,1,31,10,32,1,34,3,19,PUNT
Kentucky,SEC,Tennessee,SEC,401012336,4010123363,false,1,68,10,1,66,8,34,1,58,3,2,PUNT
Tennessee,SEC,Kentucky,SEC,401012336,4010123364,true,1,43,8,1,98,5,9,3,25,8,55,FG
Kentucky,SEC,Tennessee,SEC,401012336,4010123365,false,1,75,5,2,33,12,49,7,20,15,42,MISSED FG
Tennessee,SEC,Kentucky,SEC,401012336,4010123366,false,2,34,12,2,66,10,4,2,45,4,32,PUNT
Kentucky,SEC,Tennessee,SEC,401012336,4010123367,false,2,97,10,2,92,8,17,1,47,3,5,PUNT
Tennessee,SEC,Kentucky,SEC,401012336,4010123368,false,2,36,8,2,28,6,54,1,23,3,-8,PUNT
Kentucky,SEC,Tennessee,SEC,401012336,4010123369,false,2,65,6,2,64,,,6,54,5,1,PUNT
Ole Miss,SEC,Texas A&M,SEC,401012337,4010123371,false,1,75,15,1,67,13,30,1,30,4,8,PUNT
Texas A&M,SEC,Ole Miss,SEC,401012337,4010123372,false,1,30,13,1,51,10,8,3,22,6,21,PUNT
Ole Miss,SEC,Texas A&M,SEC,401012337,4010123373,false,1,95,10,1,88,8,49,1,19,3,7,PUNT
Texas A&M,SEC,Ole Miss,SEC,401012337,4010123374,true,1,29,8,1,100,1,49,7,,14,71,TD
Ole Miss,SEC,Texas A&M,SEC,401012337,4010123375,true,1,75,1,2,0,14,51,1,58,5,75,TD
Texas A&M,SEC,Ole Miss,SEC,401012337,4010123376,false,2,23,14,2,30,12,50,2,1,3,7,PUNT
Ole Miss,SEC,Texas A&M,SEC,401012337,4010123377,true,2,75,12,2,0,9,48,3,2,7,75,TD
Texas A&M,SEC,Ole Miss,SEC,401012337,4010123378,false,2,25,9,2,51,6,,3,48,9,26,PUNT
Ole Miss,SEC,Texas A&M,SEC,401012337,4010123379,false,2,92,6,2,15,3,32,2,28,6,77,FUMBLE
Arizona State,Pac-12,UCLA,Pac-12,401012786,4010127861,true,1,25,15,1,85,9,16,5,44,13,60,FG
