offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_time.minutes,end_period,end_yardline,end_time.minutes,end_time.seconds,elapsed.seconds,plays,yards,drive_result
Texas A&M,SEC,Alabama,SEC,401012284,4010122841,false,1,75,15,1,75,14,18,42,2,0,INT
Alabama,SEC,Texas A&M,SEC,401012284,4010122842,true,1,70,14,1,100,14,10,8,1,30,TD
Texas A&M,SEC,Alabama,SEC,401012284,4010122843,false,1,82,14,1,78,11,50,20,3,4,PUNT
Alabama,SEC,Texas A&M,SEC,401012284,4010122844,false,1,27,11,1,64,9,10,40,5,37,PUNT
Texas A&M,SEC,Alabama,SEC,401012284,4010122845,true,1,99,9,1,0,4,55,15,8,99,TD
Alabama,SEC,Texas A&M,SEC,401012284,4010122846,true,1,25,4,1,100,,45,10,9,75,TD
Texas A&M,SEC,Alabama,SEC,401012284,4010122847,false,1,75,,2,65,13,31,14,5,10,PUNT
Alabama,SEC,Texas A&M,SEC,401012284,4010122848,false,2,20,13,2,6,11,1,30,3,-14,PUNT
Texas A&M,SEC,Alabama,SEC,401012284,4010122849,true,2,57,11,2,35,8,50,11,4,22,FG
Arkansas,SEC,Auburn,SEC,401012285,4010122851,false,1,75,15,1,60,12,57,3,5,15,PUNT
Auburn,SEC,Arkansas,SEC,401012285,4010122852,true,1,73,12,1,100,10,36,21,7,27,TD
Arkansas,SEC,Auburn,SEC,401012285,4010122853,false,1,75,10,1,22,6,37,59,11,53,MISSED FG
Auburn,SEC,Arkansas,SEC,401012285,4010122854,false,1,22,6,1,25,5,21,16,3,3,PUNT
Arkansas,SEC,Auburn,SEC,401012285,4010122855,false,1,72,5,1,67,3,37,44,3,5,PUNT
Auburn,SEC,Arkansas,SEC,401012285,4010122856,false,1,45,3,1,64,2,,37,5,19,MISSED FG
Arkansas,SEC,Auburn,SEC,401012285,4010122857,false,1,64,2,1,64,1,46,14,1,4,FUMBLE
Auburn,SEC,Arkansas,SEC,401012285,4010122858,true,1,98,1,1,99,,21,25,4,1,FG
Arkansas,SEC,Auburn,SEC,401012285,4010122859,false,1,75,,2,72,11,41,40,7,3,PUNT
Kentucky,SEC,Mississippi State,SEC,401012286,4010122861,false,1,34,15,1,51,12,48,12,5,17,PUNT
Mississippi State,SEC,Kentucky,SEC,401012286,4010122862,false,1,79,12,1,84,11,24,24,3,-4,PUNT
Kentucky,SEC,Mississippi State,SEC,401012286,4010122863,false,1,44,11,1,50,9,3,21,4,6,PUNT
Mississippi State,SEC,Kentucky,SEC,401012286,4010122864,false,1,90,9,1,78,7,14,49,3,12,PUNT
Kentucky,SEC,Mississippi State,SEC,401012286,4010122865,false,1,38,7,1,82,1,59,15,9,44,MISSED FG
Mississippi State,SEC,Kentucky,SEC,401012286,4010122866,true,1,80,1,2,0,8,42,17,15,80,TD
Kentucky,SEC,Mississippi State,SEC,401012286,4010122867,false,2,18,8,2,28,5,35,7,5,10,PUNT
Mississippi State,SEC,Kentucky,SEC,401012286,4010122868,false,2,71,5,2,66,4,24,11,3,5,PUNT
