id,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,yard_line,down,distance,yards_gained,play_type,play_text
401012338101849902,Alabama,SEC,The Citadel,,0,0,4010123381,1,15,35,1,10,0,Kickoff,Joseph Bulovas kickoff for 65 yds for a touchback
401012338101854401,The Citadel,,Alabama,SEC,0,0,4010123381,1,14,75,1,10,4,Rush,Keyonte Sessions run for 4 yds to the Citad 29
401012338101924701,The Citadel,,Alabama,SEC,0,0,4010123381,1,7,40,4,9,0,Punt,Matthew Campbell punt for 40 yds for a touchback
401012338101894401,The Citadel,,Alabama,SEC,0,0,4010123381,1,10,52,2,9,3,Rush,Lorenzo Ward run for 3 yds to the Alab 49
401012338101897901,The Citadel,,Alabama,SEC,0,0,4010123381,1,10,49,3,6,8,Rush,Brandon Rainey run for 8 yds to the Alab 41 for a 1ST down
401012338101904901,The Citadel,,Alabama,SEC,0,0,4010123381,1,9,41,1,10,0,Rush,Lorenzo Ward run for no gain to the Alab 41
401012338101908401,The Citadel,,Alabama,SEC,0,0,4010123381,1,9,41,2,10,2,Rush,Brandon Rainey run for 2 yds to the Alab 39
401012338101915901,The Citadel,,Alabama,SEC,0,0,4010123381,1,8,39,3,8,-1,Rush,Brandon Rainey run for a loss of 1 yard to the Alab 40
401012338101857901,The Citadel,,Alabama,SEC,0,0,4010123381,1,14,71,2,6,3,Rush,Brandon Rainey run for 3 yds to the Citad 32
401012338101865201,The Citadel,,Alabama,SEC,0,0,4010123381,1,13,68,3,3,5,Rush,Lorenzo Ward run for 5 yds to the Citad 37 for a 1ST down
401012338101868701,The Citadel,,Alabama,SEC,0,0,4010123381,1,13,63,1,10,6,Rush,Brandon Rainey run for 6 yds to the Citad 43
401012338101876301,The Citadel,,Alabama,SEC,0,0,4010123381,1,12,57,2,4,3,Rush,Lorenzo Ward run for 3 yds to the Citad 46
401012338101879901,The Citadel,,Alabama,SEC,0,0,4010123381,1,12,54,3,1,1,Rush,Lorenzo Ward run for 1 yd to the Citad 47 for a 1ST down
401012338101886901,The Citadel,,Alabama,SEC,0,0,4010123381,1,11,53,1,10,1,Rush,Dante Smith run for 1 yd to the Citad 48
401012338101925301,Alabama,SEC,The Citadel,,0,0,4010123382,1,7,20,1,10,1,Rush,Damien Harris run for 1 yd to the Alab 21
401012338101929301,Alabama,SEC,The Citadel,,0,0,4010123382,1,7,21,2,9,2,Rush,Damien Harris run for 2 yds to the Alab 23
401012338101944901,Alabama,SEC,The Citadel,,0,0,4010123382,1,5,23,3,7,29,Pass Reception,Tua Tagovailoa pass complete to Jaylen Waddle for 29 yds to the Citad 48 for a 1ST down
401012338101948301,Alabama,SEC,The Citadel,,0,0,4010123382,1,5,52,1,10,0,Pass Incompletion,Tua Tagovailoa pass incomplete to Jerry Jeudy
401012338101948901,Alabama,SEC,The Citadel,,0,0,4010123382,1,5,52,2,10,1,Rush,Damien Harris run for 1 yd to the Citad 47
401012338101957401,Alabama,SEC,The Citadel,,0,0,4010123382,1,4,53,3,9,16,Rush,Tua Tagovailoa run for 16 yds to the Citad 31 for a 1ST down
401012338101964501,Alabama,SEC,The Citadel,,0,0,4010123382,1,3,69,1,10,10,Pass Reception,Tua Tagovailoa pass complete to Jaylen Waddle for 10 yds to the Citad 21 for a 1ST down
401012338101967001,Alabama,SEC,The Citadel,,7,0,4010123382,1,3,79,1,10,21,Passing Touchdown,Tua Tagovailoa pass complete to Jaylen Waddle for 21 yds for a TD (Joseph Bulovas KICK)
401012338101974901,The Citadel,,Alabama,SEC,0,7,4010123383,1,2,77,2,5,6,Rush,Lorenzo Ward run for 6 yds to the Citad 29 for a 1ST down
401012338101989901,The Citadel,,Alabama,SEC,0,7,4010123383,1,1,68,3,7,21,Rush,Dante Smith run for 21 yds to the Alab 47 for a 1ST down
401012338101967003,Alabama,SEC,The Citadel,,7,0,4010123383,1,3,35,1,10,13,Kickoff,"Joseph Bulovas kickoff for 60 yds , Raleigh Webb return for 13 yds to the Citad 18"
401012338101968301,The Citadel,,Alabama,SEC,0,7,4010123383,1,3,82,1,10,5,Rush,Keyonte Sessions run for 5 yds to the Citad 23
401012338101978401,The Citadel,,Alabama,SEC,0,7,4010123383,1,2,71,1,10,1,Rush,Brandon Rainey run for 1 yd to the Citad 30
401012338101985701,The Citadel,,Alabama,SEC,0,7,4010123383,1,1,70,2,9,2,Rush,Keyonte Sessions run for 2 yds to the Citad 32
401012338101996901,The Citadel,,Alabama,SEC,0,7,4010123383,1,,47,1,10,3,Rush,Lorenzo Ward run for 3 yds to the Alab 44
401012338101996902,The Citadel,,Alabama,SEC,0,7,4010123383,1,,0,0,10,0,End Period,End of 1st Quarter
401012338102854401,The Citadel,,Alabama,SEC,0,7,4010123383,2,14,44,2,7,-2,Rush,Keyonte Sessions run for a loss of 2 yards to the Alab 46
401012338102858401,The Citadel,,Alabama,SEC,0,7,4010123383,2,14,46,3,9,2,Rush,Lorenzo Ward run for 2 yds to the Alab 44
401012338102866801,The Citadel,,Alabama,SEC,0,7,4010123383,2,13,44,4,7,0,Punt,"Matthew Campbell punt for 35 yds, fair catch by Jaylen Waddle at the Alab 9"
401012338102876401,Alabama,SEC,The Citadel,,7,0,4010123384,2,12,9,3,11,6,Rush,Tua Tagovailoa run for 6 yds to the Alab 15
401012338102868001,Alabama,SEC,The Citadel,,7,0,4010123384,2,13,10,2,10,-1,Rush,Josh Jacobs run for a loss of 1 yard to the Alab 9
401012338102867201,Alabama,SEC,The Citadel,,7,0,4010123384,2,13,10,1,10,0,Pass Incompletion,Tua Tagovailoa pass incomplete to Henry Ruggs III
401012338102884701,Alabama,SEC,The Citadel,,7,0,4010123384,2,11,15,4,5,4,Punt,"Mike Bernier punt for 34 yds , Lane Botkin returns for 4 yds to the Alab 45"
401012338102885701,The Citadel,,Alabama,SEC,7,7,4010123385,2,11,45,1,10,45,Rushing Touchdown,Dante Smith run for 45 yds for a TD (Jacob Godek KICK)
401012338102886401,Alabama,SEC,The Citadel,,7,7,4010123386,2,11,36,1,10,15,Pass Reception,Tua Tagovailoa pass complete to Josh Jacobs for 15 yds to the Citad 49 for a 1ST down
401012338102885703,The Citadel,,Alabama,SEC,7,7,4010123386,2,11,65,1,10,0,Kickoff,Jacob Godek kickoff for 29 yds fair catch by Miller Forristall at the Alab 36
401012338102889401,Alabama,SEC,The Citadel,,7,7,4010123386,2,11,51,1,10,13,Fumble Recovery (Opponent),"Tua Tagovailoa pass complete to Jerry Jeudy for 13 yds Jerry Jeudy fumbled, forced by Russell Hubbs, recovered by Citad Ronald Peterkin"
401012338102894101,The Citadel,,Alabama,SEC,7,7,4010123387,2,10,63,1,10,1,Rush,Brandon Rainey run for 1 yd to the Citad 38
401012338102904901,The Citadel,,Alabama,SEC,7,7,4010123387,2,9,60,3,7,-1,Rush,Brandon Rainey run for a loss of 1 yard to the Citad 39
401012338102909301,The Citadel,,Alabama,SEC,7,7,4010123387,2,9,61,4,8,0,Punt,"Matthew Campbell punt for 52 yds, downed at the Alab 9"
401012338102897401,The Citadel,,Alabama,SEC,7,7,4010123387,2,10,62,2,9,2,Rush,Nkem Njoku run for 2 yds to the Citad 40
401012338102917801,Alabama,SEC,The Citadel,,7,7,4010123388,2,8,41,2,10,12,Pass Reception,Tua Tagovailoa pass complete to Jerry Jeudy for 12 yds to the Citad 47 for a 1ST down
401012338102916801,Alabama,SEC,The Citadel,,7,7,4010123388,2,8,41,1,10,0,Pass Incompletion,Tua Tagovailoa pass incomplete to Tyrell Shavers
401012338102914201,Alabama,SEC,The Citadel,,7,7,4010123388,2,8,9,1,10,32,Rush,Najee Harris run for 32 yds to the Alab 41 for a 1ST down
401012338102925301,Alabama,SEC,The Citadel,,7,7,4010123388,2,7,53,1,10,-10,Penalty,"ALABAMA Penalty, Offensive Holding (Lester Cotton Sr.) to the Alab 43"
401012338102928501,Alabama,SEC,The Citadel,,7,7,4010123388,2,7,43,1,20,22,Pass Reception,Tua Tagovailoa pass complete to Jerry Jeudy for 22 yds to the Citad 35 for a 1ST down
401012338102929901,Alabama,SEC,The Citadel,,7,7,4010123388,2,7,65,1,10,22,Pass Reception,Tua Tagovailoa pass complete to Henry Ruggs III for 22 yds to the Citad 13 for a 1ST down
401012338102937401,Alabama,SEC,The Citadel,,7,7,4010123388,2,6,87,1,10,6,Rush,Damien Harris run for 6 yds to the Citad 7
401012338102945401,Alabama,SEC,The Citadel,,7,7,4010123388,2,5,93,2,4,2,Rush,Damien Harris run for 2 yds to the Citad 5
401012338102949601,Alabama,SEC,The Citadel,,7,7,4010123388,2,5,95,3,2,0,Pass Incompletion,Tua Tagovailoa pass incomplete to Henry Ruggs III
401012338102954001,Alabama,SEC,The Citadel,,10,7,4010123388,2,4,95,4,2,23,Field Goal Good,Joseph Bulovas 23 yd FG GOOD
401012338102954002,Alabama,SEC,The Citadel,,10,7,4010123389,2,4,35,4,2,0,Kickoff,Joseph Bulovas kickoff for 64 yds for a touchback
401012338102955402,The Citadel,,Alabama,SEC,7,10,4010123389,2,4,75,1,10,5,Rush,Brandon Rainey run for 5 yds to the Citad 30
401012338102958902,The Citadel,,Alabama,SEC,7,10,4010123389,2,4,70,2,5,3,Rush,Brandon Rainey run for 3 yds to the Citad 33
401012338102966902,The Citadel,,Alabama,SEC,7,10,4010123389,2,3,67,3,2,4,Rush,Keyonte Sessions run for 4 yds to the Citad 37 for a 1ST down
401012338102969901,The Citadel,,Alabama,SEC,7,10,4010123389,2,3,63,1,10,2,Rush,Nkem Njoku run for 2 yds to the Citad 39
401012338102977401,The Citadel,,Alabama,SEC,7,10,4010123389,2,2,47,2,8,29,Rush,"Brandon Rainey run for 14 yds to the ALABAMA 47 for a 1ST down ALABAMA Penalty, Personal Foul (15 Yards) to the Alab 32 for a 1ST down"
401012338102979401,The Citadel,,Alabama,SEC,7,10,4010123389,2,2,32,1,10,2,Rush,Brandon Rainey run for 2 yds to the Alab 30
401012338102987401,The Citadel,,Alabama,SEC,7,10,4010123389,2,1,30,2,8,-4,Sack,Brandon Rainey sacked by Anfernee Jennings for a loss of 4 yards to the Alab 34
401012338102995401,The Citadel,,Alabama,SEC,7,10,4010123389,2,,34,3,12,3,Rush,Brandon Rainey run for 3 yds to the Alab 31
401012338102999401,The Citadel,,Alabama,SEC,7,10,4010123389,2,,31,4,9,0,Timeout,"Timeout THE CITADEL, clock 00:05"
401012338102999902,The Citadel,,Alabama,SEC,10,10,4010123389,2,,0,0,9,0,End of Half,End of 2nd Quarter
401012338102999901,The Citadel,,Alabama,SEC,10,10,4010123389,2,,31,4,9,48,Field Goal Good,Jacob Godek 48 yd FG GOOD
401012339101849906,Liberty,,Auburn,SEC,0,0,4010123391,1,15,69,3,4,5,Pass Reception,Stephen Calvert pass complete to Antonio Gandy-Golden for 5 yds to the Liber 36 for a 1ST down
401012339101849912,Liberty,,Auburn,SEC,0,0,4010123391,1,15,42,1,10,2,Rush,Peytton Pickett run for 2 yds to the Aub 40
401012339101849913,Liberty,,Auburn,SEC,0,0,4010123391,1,15,40,2,8,4,Rush,Peytton Pickett run for 4 yds to the Aub 36
401012339101849914,Liberty,,Auburn,SEC,0,0,4010123391,1,15,36,3,4,0,Pass Incompletion,Stephen Calvert pass incomplete to B.J. Farrow
401012339101849915,Liberty,,Auburn,SEC,0,0,4010123391,1,15,36,4,4,3,Pass Reception,Stephen Calvert pass complete to Peytton Pickett for 3 yds to the Aub 33
401012339101849916,Liberty,,Auburn,SEC,0,0,4010123391,1,15,59,3,5,6,Pass Reception,Stephen Calvert pass complete to DJ Stubbs for 6 yds to the Liber 47 for a 1ST down
401012339101849907,Liberty,,Auburn,SEC,0,0,4010123391,1,15,64,1,10,0,Rush,Frankie Hickson run for no gain to the Liber 36
401012339101849905,Liberty,,Auburn,SEC,0,0,4010123391,1,15,71,2,6,2,Rush,Frankie Hickson run for 2 yds to the Liber 31
401012339101849904,Liberty,,Auburn,SEC,0,0,4010123391,1,15,75,1,10,4,Pass Reception,Stephen Calvert pass complete to Antonio Gandy-Golden for 4 yds to the Liber 29
401012339101849903,Liberty,,Auburn,SEC,0,0,4010123391,1,15,75,1,10,0,Timeout,"Timeout LIBERTY, clock 15:00"
401012339101849902,Auburn,SEC,Liberty,,0,0,4010123391,1,15,35,1,10,0,Kickoff,Anders Carlson kickoff for 65 yds for a touchback
401012339101849909,Liberty,,Auburn,SEC,0,0,4010123391,1,15,59,3,5,6,Pass Reception,Stephen Calvert pass complete to DJ Stubbs for 6 yds to the Liber 47 for a 1ST down
401012339101849910,Liberty,,Auburn,SEC,0,0,4010123391,1,15,53,1,10,2,Rush,Peytton Pickett run for 2 yds to the Liber 49
401012339101849911,Liberty,,Auburn,SEC,0,0,4010123391,1,15,51,2,8,9,Pass Reception,Stephen Calvert pass complete to B.J. Farrow for 9 yds to the Aub 42 for a 1ST down
401012339101849908,Liberty,,Auburn,SEC,0,0,4010123391,1,15,64,2,10,5,Rush,Frankie Hickson run for 5 yds to the Liber 41
401012339101909603,Auburn,SEC,Liberty,,0,0,4010123392,1,9,62,1,10,3,Pass Reception,Jarrett Stidham pass complete to Chandler Cox for 3 yds to the Liber 35
401012339101909605,Auburn,SEC,Liberty,,0,0,4010123392,1,9,65,3,7,0,Pass Incompletion,Jarrett Stidham pass incomplete
401012339101909601,Auburn,SEC,Liberty,,0,0,4010123392,1,9,34,1,10,12,Rush,Kam Martin run for 12 yds to the Aub 46 for a 1ST down
401012339101909602,Auburn,SEC,Liberty,,0,0,4010123392,1,9,46,1,10,16,Pass Reception,Jarrett Stidham pass complete to Seth Williams for 16 yds to the Liber 38 for a 1ST down
401012339101909604,Auburn,SEC,Liberty,,0,0,4010123392,1,9,65,2,7,0,Pass Incompletion,Jarrett Stidham pass incomplete
401012339101925901,Auburn,SEC,Liberty,,3,0,4010123392,1,7,65,4,7,53,Field Goal Good,Anders Carlson 53 yd FG GOOD
