id,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text
401012260101868001,Alabama,SEC,Arkansas State,Sun Belt,7,0,4010122601,1,13,19,42,3,5,58,Passing Touchdown,Tua Tagovailoa pass complete to Jerry Jeudy for 58 yds for a TD (Austin Jones KICK)
401012260101865401,Alabama,SEC,Arkansas State,Sun Belt,0,0,4010122601,1,13,45,37,2,10,5,Rush,Damien Harris run for 5 yds to the Alab 42
401012260101859901,Alabama,SEC,Arkansas State,Sun Belt,0,0,4010122601,1,14,,37,1,10,0,Pass Incompletion,Tua Tagovailoa pass incomplete to Damien Harris
401012260101857801,Alabama,SEC,Arkansas State,Sun Belt,0,0,4010122601,1,14,21,33,2,2,4,Rush,Damien Harris run for 4 yds to the Alab 37 for a 1ST down
401012260101855401,Alabama,SEC,Arkansas State,Sun Belt,0,0,4010122601,1,14,45,25,1,10,8,Rush,Damien Harris run for 8 yds to the Alab 33
401012260101849902,Arkansas State,Sun Belt,Alabama,SEC,0,0,4010122601,1,15,,65,1,10,0,Kickoff,Sawyer Williams kickoff for 42 yds for a touchback
401012260101885701,Arkansas State,Sun Belt,Alabama,SEC,0,7,4010122602,1,11,42,71,4,6,2,Punt,"Cody Grace punt for 7 yds, downed at the ArkSt 36 ARKANSAS ST Penalty, Illegal Formation (-5 Yards) to the ArkSt 31"
401012260101878401,Arkansas State,Sun Belt,Alabama,SEC,0,7,4010122602,1,12,15,71,3,6,0,Pass Incompletion,Justice Hansen pass incomplete to Justin McInnis
401012260101878201,Arkansas State,Sun Belt,Alabama,SEC,0,7,4010122602,1,12,17,75,2,10,4,Rush,Warren Wand run for 4 yds to the ArkSt 29
401012260101875401,Arkansas State,Sun Belt,Alabama,SEC,0,7,4010122602,1,12,45,70,2,5,-5,Penalty,"ARKANSAS ST Penalty, False Start (-5 Yards) to the ArkSt 25"
401012260101868901,Arkansas State,Sun Belt,Alabama,SEC,0,7,4010122602,1,13,10,75,1,10,5,Pass Reception,Justice Hansen pass complete to Warren Wand for 5 yds to the ArkSt 30
401012260101868003,Alabama,SEC,Arkansas State,Sun Belt,7,0,4010122602,1,13,19,35,3,5,0,Kickoff,Joseph Bulovas kickoff for 64 yds for a touchback
401012260101886901,Alabama,SEC,Arkansas State,Sun Belt,13,0,4010122603,1,11,30,69,2,10,31,Passing Touchdown,Tua Tagovailoa pass complete to Henry Ruggs III for 31 yds for a TD (Austin Jones PAT MISSED)
